Year,Province,Technology,Generation_TWh
2025,JEJ,ThermalPowerCCS{NaturalGas},0.0
2025,JEJ,ThermalPower{Coal},4.6e-05
2025,JEJ,ThermalPower{NaturalGas},3.040611
2025,JEJ,ThermalPower{Uranium},2.4e-05
2025,JEJ,ThermalSteam{Coal},5e-06
2025,JEJ,ThermalSteam{NaturalGas},0.453799
2025,JEJ,VRE,0.09921
2025,JNA,Battery,0.003959
2025,JNA,ThermalPowerCCS{Coal},0.0
2025,JNA,ThermalPowerCCS{NaturalGas},0.0
2025,JNA,ThermalPower{Coal},10.23602
2025,JNA,ThermalPower{NaturalGas},21.069985
2025,JNA,ThermalPower{Uranium},1.9e-05
2025,JNA,ThermalSteam{Coal},5.5e-05
2025,JNA,ThermalSteam{NaturalGas},1.13475
2025,JNA,VRE,4.2e-05
2025,JNB,Battery,0.000473
2025,JNB,ThermalPowerCCS{Coal},0.0
2025,JNB,ThermalPowerCCS{NaturalGas},0.0
2025,JNB,ThermalPower{Coal},5.5e-05
2025,JNB,ThermalPower{NaturalGas},17.464143
2025,JNB,ThermalPower{Uranium},2.5e-05
2025,JNB,ThermalSteam{Coal},6.8e-05
2025,JNB,ThermalSteam{NaturalGas},1.341564
2025,JNB,VRE,1.6e-05
2025,KWJ,Battery,0.005888
2025,KWJ,ThermalPowerCCS{Coal},0.0
2025,KWJ,ThermalPowerCCS{NaturalGas},0.0
2025,KWJ,ThermalPower{Coal},6.3e-05
2025,KWJ,ThermalPower{NaturalGas},24.082069
2025,KWJ,ThermalPower{Uranium},3e-05
2025,KWJ,ThermalSteam{Coal},0.212189
2025,KWJ,ThermalSteam{NaturalGas},0.510804
2025,KWJ,VRE,7e-06
2025,PUS,Battery,0.002116
2025,PUS,ThermalPowerCCS{Coal},0.0
2025,PUS,ThermalPowerCCS{NaturalGas},0.0
2025,PUS,ThermalPower{Coal},5.8e-05
2025,PUS,ThermalPower{NaturalGas},75.900704
2025,PUS,ThermalPower{Uranium},1.9e-05
2025,PUS,ThermalSteam{Coal},0.045566
2025,PUS,ThermalSteam{NaturalGas},2.121062
2025,PUS,VRE,9e-06
2025,SEL,Battery,0.000451
2025,SEL,ThermalPowerCCS{Coal},0.0
2025,SEL,ThermalPowerCCS{NaturalGas},0.0
2025,SEL,ThermalPower{Coal},0.0
2025,SEL,ThermalPower{NaturalGas},0.20402
2025,SEL,ThermalPower{Uranium},1.3e-05
2025,SEL,ThermalSteam{Coal},0.153499
2025,SEL,ThermalSteam{NaturalGas},7.602722
2025,SEL,VRE,6e-06
2025,SJG,Battery,0.00047
2025,SJG,ThermalPowerCCS{Coal},0.0
2025,SJG,ThermalPowerCCS{NaturalGas},0.0
2025,SJG,ThermalPower{Coal},4e-05
2025,SJG,ThermalPower{NaturalGas},0.207707
2025,SJG,ThermalPower{Uranium},2.1e-05
2025,SJG,ThermalSteam{Coal},5.5e-05
2025,SJG,ThermalSteam{NaturalGas},0.786977
2025,SJG,VRE,5e-06
2025,TAE,Battery,0.005866
2025,TAE,ThermalPowerCCS{Coal},0.0
2025,TAE,ThermalPowerCCS{NaturalGas},0.0
2025,TAE,ThermalPower{Coal},5.2e-05
2025,TAE,ThermalPower{NaturalGas},21.972421
2025,TAE,ThermalPower{Uranium},2.6e-05
2025,TAE,ThermalSteam{Coal},5.8e-05
2025,TAE,ThermalSteam{NaturalGas},1.022457
2025,TAE,VRE,8e-06
2025,USN,Battery,0.003635
2025,USN,ThermalPowerCCS{Coal},0.0
2025,USN,ThermalPowerCCS{NaturalGas},0.0
2025,USN,ThermalPower{Coal},5.3e-05
2025,USN,ThermalPower{NaturalGas},24.914383
2025,USN,ThermalPower{Uranium},2.1e-05
2025,USN,ThermalSteam{Coal},5e-06
2025,USN,ThermalSteam{NaturalGas},1.105396
2025,USN,VRE,6e-06
2030,CNA,Battery,0.000168
2030,CNA,ThermalPowerCCS{Coal},0.0
2030,CNA,ThermalPowerCCS{NaturalGas},0.0
2030,CNA,ThermalPower{Coal},127.632201
2030,CNA,ThermalPower{NaturalGas},2.043703
2030,CNA,ThermalPower{Uranium},1.8e-05
2030,CNA,ThermalSteam{Coal},0.243922
2030,CNA,ThermalSteam{NaturalGas},1.077874
2030,CNA,VRE,1.1e-05
2030,CNB,Battery,0.000289
2030,CNB,ThermalPowerCCS{Coal},0.0
2030,CNB,ThermalPowerCCS{NaturalGas},0.0
2030,CNB,ThermalPower{Coal},7.3e-05
2030,CNB,ThermalPower{NaturalGas},0.192941
2030,CNB,ThermalPower{Uranium},1.9e-05
2030,CNB,ThermalSteam{Coal},0.139827
2030,CNB,ThermalSteam{NaturalGas},1.191626
2030,CNB,VRE,1.3e-05
2030,DJJ,Battery,0.000167
2030,DJJ,ThermalPowerCCS{Coal},0.0
2030,DJJ,ThermalPowerCCS{NaturalGas},0.0
2030,DJJ,ThermalPower{Coal},7.3e-05
2030,DJJ,ThermalPower{NaturalGas},14.490573
2030,DJJ,ThermalPower{Uranium},2.6e-05
2030,DJJ,ThermalSteam{Coal},0.058178
2030,DJJ,ThermalSteam{NaturalGas},0.604385
2030,DJJ,VRE,5e-06
2030,GGI,Battery,0.000159
2030,GGI,ThermalPowerCCS{Coal},0.0
2030,GGI,ThermalPowerCCS{NaturalGas},0.0
2030,GGI,ThermalPower{Coal},7.9e-05
2030,GGI,ThermalPower{NaturalGas},58.209104
2030,GGI,ThermalPower{Uranium},1.8e-05
2030,GGI,ThermalSteam{Coal},6.2e-05
2030,GGI,ThermalSteam{NaturalGas},10.417866
2030,GGI,VRE,8e-06
2030,GNA,Battery,0.001605
2030,GNA,ThermalPowerCCS{Coal},0.0
2030,GNA,ThermalPowerCCS{NaturalGas},0.0
2030,GNA,ThermalPower{Coal},71.831811
2030,GNA,ThermalPower{NaturalGas},0.136472
2030,GNA,ThermalPower{Uranium},2.8e-05
2030,GNA,ThermalSteam{Coal},0.063075
2030,GNA,ThermalSteam{NaturalGas},2.168026
2030,GNA,VRE,2e-05
2030,GNB,Battery,0.00247
2030,GNB,ThermalPowerCCS{Coal},0.0
2030,GNB,ThermalPowerCCS{NaturalGas},0.0
2030,GNB,ThermalPower{Coal},8.3e-05
2030,GNB,ThermalPower{NaturalGas},20.858161
2030,GNB,ThermalPower{Uranium},2.1e-05
2030,GNB,ThermalSteam{Coal},0.3744
2030,GNB,ThermalSteam{NaturalGas},1.587558
2030,GNB,VRE,1.8e-05
2030,GWN,Battery,0.000303
2030,GWN,ThermalPowerCCS{Coal},0.0
2030,GWN,ThermalPowerCCS{NaturalGas},0.0
2030,GWN,ThermalPower{Coal},22.119859
2030,GWN,ThermalPower{NaturalGas},0.994863
2030,GWN,ThermalPower{Uranium},1.9e-05
2030,GWN,ThermalSteam{Coal},3.8e-05
2030,GWN,ThermalSteam{NaturalGas},1.004888
2030,GWN,VRE,1.6e-05
2030,INC,Battery,0.000163
2030,INC,ThermalPowerCCS{Coal},0.0
2030,INC,ThermalPowerCCS{NaturalGas},0.0
2030,INC,ThermalPower{Coal},44.184519
2030,INC,ThermalPower{NaturalGas},3.25455
2030,INC,ThermalPower{Uranium},2.6e-05
2030,INC,ThermalSteam{Coal},0.304632
2030,INC,ThermalSteam{NaturalGas},1.500231
2030,INC,VRE,8e-06
2030,JEJ,Battery,0.003094
2030,JEJ,ThermalPowerCCS{Coal},0.0
2030,JEJ,ThermalPowerCCS{NaturalGas},0.0
2030,JEJ,ThermalPower{Coal},6.7e-05
2030,JEJ,ThermalPower{NaturalGas},3.072013
2030,JEJ,ThermalPower{Uranium},1.7e-05
2030,JEJ,ThermalSteam{Coal},5e-06
2030,JEJ,ThermalSteam{NaturalGas},0.453799
2030,JEJ,VRE,0.099357
2030,JNA,Battery,0.003395
2030,JNA,ThermalPowerCCS{Coal},0.0
2030,JNA,ThermalPowerCCS{NaturalGas},0.0
2030,JNA,ThermalPower{Coal},10.236486
2030,JNA,ThermalPower{NaturalGas},23.301063
2030,JNA,ThermalPower{Uranium},2.4e-05
2030,JNA,ThermalSteam{Coal},4.9e-05
2030,JNA,ThermalSteam{NaturalGas},1.134761
2030,JNA,VRE,4.2e-05
2030,JNB,Battery,0.000263
2030,JNB,ThermalPowerCCS{Coal},0.0
2030,JNB,ThermalPowerCCS{NaturalGas},0.0
2030,JNB,ThermalPower{Coal},8.1e-05
2030,JNB,ThermalPower{NaturalGas},21.107887
2030,JNB,ThermalPower{Uranium},4.8e-05
2030,JNB,ThermalSteam{Coal},3.9e-05
2030,JNB,ThermalSteam{NaturalGas},1.341618
2030,JNB,VRE,1.8e-05
2030,KWJ,Battery,0.005652
2030,KWJ,ThermalPowerCCS{Coal},0.0
2030,KWJ,ThermalPowerCCS{NaturalGas},0.0
2030,KWJ,ThermalPower{Coal},9.3e-05
