"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"bio_oil_and_diesel",2013-03-01,16648,111255.1,14749.8333333333
"coal",2013-03-01,3432813.675,9568213.719,3080928.20421667
"natural_gas",2013-03-01,0,3074798.286,0
"oil",2013-03-01,215272.1807,497828.467,349691.1712
"oil_and_natural_gas",2013-03-01,76000,193741,102850
"bio_oil_and_diesel",2013-04-01,16581,112048.1,16031.3333333333
"coal",2013-04-01,2762019.4958,7889353.61,3091644.06421667
"natural_gas",2013-04-01,0,2864952.856,0
"oil",2013-04-01,478301.4704,663971.441,374645.824916667
"oil_and_natural_gas",2013-04-01,171300,422179,116150
"bio_oil_and_diesel",2013-05-01,16202,113985.6,16140.1666666667
"coal",2013-05-01,2429615.1121,8196314.091,3038576.96386667
"natural_gas",2013-05-01,0,3036707.264,0
"oil",2013-05-01,380499.7651,396781.072,363985.754883333
"oil_and_natural_gas",2013-05-01,122600,317668,117616.666666667
"bio_oil_and_diesel",2013-06-01,17187,106508.8,16355.3333333333
"coal",2013-06-01,2650702.6669,9128146.414,2911845.66013333
"natural_gas",2013-06-01,0,2889075.801,0
"oil",2013-06-01,450119.1435,622673.312,372985.222466667
"oil_and_natural_gas",2013-06-01,157000,312081,119066.666666667
"bio_oil_and_diesel",2013-07-01,18661,119836.5,16601.6666666667
"coal",2013-07-01,3331715.3735,9662293.187,2930764.94966667
"natural_gas",2013-07-01,0,3108568.369,0
"oil",2013-07-01,516404.338,714672.419,385867.14585
"oil_and_natural_gas",2013-07-01,189500,408852,134883.333333333
"bio_oil_and_diesel",2013-08-01,20060,123130.6,17556.5
"coal",2013-08-01,3268399.4318,9424518.099,2979210.95918333
"natural_gas",2013-08-01,0,2959838.331,0
"oil",2013-08-01,519701.1128,710850.623,426716.335083333
"oil_and_natural_gas",2013-08-01,205800,412802,153700
"bio_oil_and_diesel",2013-09-01,13532,88536.8,17037.1666666667
"coal",2013-09-01,2909206.4218,8505864.678,2891943.08365
"natural_gas",2013-09-01,0,2559545.466,0
"oil",2013-09-01,216081.1757,312589.299,426851.167583333
"oil_and_natural_gas",2013-09-01,71300,165934,152916.666666667
"bio_oil_and_diesel",2013-10-01,13553,91178,16532.5
"coal",2013-10-01,2683794.3709,8219376.047,2878905.56283333
"natural_gas",2013-10-01,0,3399844.526,0
"oil",2013-10-01,465458.3395,671713.788,424710.645766667
"oil_and_natural_gas",2013-10-01,120800,307961,144500
"bio_oil_and_diesel",2013-11-01,17822,115408.3,16802.5
"coal",2013-11-01,3103914.9345,8352379.538,2991288.86656667
"natural_gas",2013-11-01,0,3501927.318,0
"oil",2013-11-01,406126.5924,610821.028,428981.78365
"oil_and_natural_gas",2013-11-01,136800,312867,146866.666666667
"bio_oil_and_diesel",2013-12-01,17166,118073.9,16799
"coal",2013-12-01,3365295.1423,9577517.84,3110387.61246667
"natural_gas",2013-12-01,0,3837937.95,0
"oil",2013-12-01,323899.5896,525170.204,407945.191333333
"oil_and_natural_gas",2013-12-01,132000,310633,142700
"bio_oil_and_diesel",2014-01-01,18742,125121.9,16812.5
"coal",2014-01-01,3195299.3398,9427194.2,3087651.60685
"natural_gas",2014-01-01,0,3404293.703,0
"oil",2014-01-01,137268.6766,272261.203,344755.914433333
"oil_and_natural_gas",2014-01-01,105500,238491,128700
"bio_oil_and_diesel",2014-02-01,17414,112852.7,16371.5
"coal",2014-02-01,2881655.1752,8121870.897,3023194.23075
"natural_gas",2014-02-01,0,2970302.217,0
"oil",2014-02-01,251945.5059,354652.026,300129.97995
"oil_and_natural_gas",2014-02-01,118100,265716,114083.333333333
"bio_oil_and_diesel",2014-03-01,17426,114371.9,17020.5
"coal",2014-03-01,2989272.611,8661726.497,3036538.59561667
"natural_gas",2014-03-01,0,3003661.384,0
"oil",2014-03-01,314728.827,485527.294,316571.255166667
"oil_and_natural_gas",2014-03-01,179300,338582,132083.333333333
"bio_oil_and_diesel",2014-04-01,18346,118128.7,17819.3333333333
"coal",2014-04-01,2790413.2191,7692476.954,3054308.40365
"natural_gas",2014-04-01,0,1772640.748,0
"oil",2014-04-01,74159.1438,157427.066,251354.72255
"oil_and_natural_gas",2014-04-01,106900,187064,129766.666666667
"bio_oil_and_diesel",2014-05-01,18544,114091.8,17939.6666666667
"coal",2014-05-01,3201827.5429,8131978.621,3070627.17171667
"natural_gas",2014-05-01,0,1769257.352,0
"oil",2014-05-01,103382.2969,209408.48,200897.339966667
"oil_and_natural_gas",2014-05-01,121400,191078,127200
"bio_oil_and_diesel",2014-06-01,17621,107880.7,18015.5
"coal",2014-06-01,3494309.9947,8558571.303,3092129.64711667
"natural_gas",2014-06-01,0,2277470.717,0
"oil",2014-06-01,136504.0946,291729.959,169664.757466667
"oil_and_natural_gas",2014-06-01,74500,136268,117616.666666667
"bio_oil_and_diesel",2014-07-01,13463,117825.7,17135.6666666667
"coal",2014-07-01,3683850.183,9462742.184,3173554.78765
"natural_gas",2014-07-01,0,1858750.889,0
"oil",2014-07-01,197719.7489,390901.933,179739.936183333
"oil_and_natural_gas",2014-07-01,171800,285010,128666.666666667
"bio_oil_and_diesel",2014-08-01,12157,113319.1,16259.5
"coal",2014-08-01,3361391.9028,9213244.426,3253510.90891667
"natural_gas",2014-08-01,0,1741890.115,0
"oil",2014-08-01,32106.1591,55504.412,143100.04505
"oil_and_natural_gas",2014-08-01,4000,7894,109650
"bio_oil_and_diesel",2014-09-01,9046,86230.5,14862.8333333333
"coal",2014-09-01,2634194.8589,7336313.259,3194331.28356667
"natural_gas",2014-09-01,0,2443493.638,0
"oil",2014-09-01,148846.581,221285.586,115453.00405
"oil_and_natural_gas",2014-09-01,18800,33012,82900
"bio_oil_and_diesel",2014-10-01,6528,79283.2,12893.1666666667
"coal",2014-10-01,2619246.8833,7577020.939,3165803.56093333
"natural_gas",2014-10-01,0,2530500.927,0
"oil",2014-10-01,20456.644,31231.544,106502.587416667
"oil_and_natural_gas",2014-10-01,6400,13397,66150
"bio_oil_and_diesel",2014-11-01,11711,114770.5,11754.3333333333
"coal",2014-11-01,2780735.3157,7888280.823,3095621.52306667
"natural_gas",2014-11-01,0,1529237.925,0
"oil",2014-11-01,31576.1006,49039.568,94534.8880333333
"oil_and_natural_gas",2014-11-01,16200,31969,48616.6666666667
"bio_oil_and_diesel",2014-12-01,15343,116646.8,11374.6666666667
"coal",2014-12-01,3189490.6539,9503088.299,3044818.2996
"natural_gas",2014-12-01,0,2112832.232,0
"oil",2014-12-01,98091.0343,173995.03,88132.7113166667
"oil_and_natural_gas",2014-12-01,69100,146992,47716.6666666667
"bio_oil_and_diesel",2015-01-01,12575,116133,11226.6666666667
"coal",2015-01-01,3063469.0529,9582119.863,2941421.44458333
"natural_gas",2015-01-01,0,2649654.353,0
"oil",2015-01-01,16414.9733,62361.467,57915.2487166667
"oil_and_natural_gas",2015-01-01,186000,308952,50083.3333333333
"bio_oil_and_diesel",2015-02-01,11652,102308.9,11142.5
"coal",2015-02-01,2710374.784,8188412.522,2832918.59145
"natural_gas",2015-02-01,0,2059015.886,0
"oil",2015-02-01,17075.044,52383.007,55410.0628666667
"oil_and_natural_gas",2015-02-01,242900,395022,89900
"bio_oil_and_diesel",2015-03-01,14422,116434.8,12038.5
"coal",2015-03-01,3135569.6602,8584229.808,2916481.05833333
"natural_gas",2015-03-01,0,2071140.621,0
"oil",2015-03-01,258020.4331,688895.896,73605.7048833333
"oil_and_natural_gas",2015-03-01,360500,626739,146850
"bio_oil_and_diesel",2015-04-01,11729,105820.2,12905.3333333333
"coal",2015-04-01,3023187.5599,8274595.89,2983804.50443333
"natural_gas",2015-04-01,0,1471753.466,0
"oil",2015-04-01,74442.2332,227060.738,82603.3030833333
"oil_and_natural_gas",2015-04-01,213200,385422,181316.666666667
"bio_oil_and_diesel",2015-05-01,12552,94303.6,13045.5
"coal",2015-05-01,2891787.6302,8469354.421,3002313.22351667
"natural_gas",2015-05-01,0,1765634.366,0
"oil",2015-05-01,52676.7663,182450.978,86120.0807
"oil_and_natural_gas",2015-05-01,22900,51607,182433.333333333
"bio_oil_and_diesel",2015-06-01,12188,74707.1,12519.6666666667
"coal",2015-06-01,2961138.3003,8866948.593,2964254.49791667
"natural_gas",2015-06-01,0,1638017.189,0
"oil",2015-06-01,24795.9569,91594.412,73904.2344666667
"oil_and_natural_gas",2015-06-01,4200,9944,171616.666666667
"bio_oil_and_diesel",2015-07-01,15929,120509.8,13078.6666666667
"coal",2015-07-01,2937063.0302,8977551.714,2943186.82746667
"natural_gas",2015-07-01,0,1638688.517,0
"oil",2015-07-01,18022.9211,31711.261,74172.2257666667
"bio_oil_and_diesel",2015-08-01,12861,119048.5,13280.1666666667
"coal",2015-08-01,3064511.477,9176198.579,3002209.60963333
"natural_gas",2015-08-01,0,2382463.202,0
"oil",2015-08-01,56708.8637,177132.511,80777.8623833333
"oil_and_natural_gas",2015-08-01,13000,24492,142783.333333333
"bio_oil_and_diesel",2015-09-01,15327,116414.7,13431
"coal",2015-09-01,2574287.4733,8087416.479,2908662.57848333
"natural_gas",2015-09-01,0,2089787.781,0
"oil",2015-09-01,32938.3659,163279.311,43264.1845166667
"oil_and_natural_gas",2015-09-01,15500,30731,104883.333333333
"bio_oil_and_diesel",2015-10-01,16934,80958.9,14298.5
"coal",2015-10-01,2410759.7087,6722148.327431,2806591.26995
"natural_gas",2015-10-01,0,1202727.502,0
"oil",2015-10-01,62041.4918,184639.21,41197.3942833333
"oil_and_natural_gas",2015-10-01,90200,164985,59833.3333333333
"bio_oil_and_diesel",2015-11-01,13015,70299.6,14375.6666666667
"coal",2015-11-01,2260105.7477,6341614.985552,2701310.9562
"natural_gas",2015-11-01,0,962950.584,0
"oil",2015-11-01,197884.6444,630150.894,65398.7073
