"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"oil",2013-10-01,7532.239,671713.788,5975.12196666667
"oil_and_natural_gas",2013-10-01,1000,307961,983.333333333333
"bio_oil_and_diesel",2013-11-01,868,115408.3,842
"coal",2013-11-01,152333.0347,8214784.714,164214.583116667
"natural_gas",2013-11-01,0,2556730.318,0
"oil",2013-11-01,8067.0188,610821.028,6567.00983333333
"oil_and_natural_gas",2013-11-01,1200,312867,1016.66666666667
"bio_oil_and_diesel",2013-12-01,887,118073.9,856.5
"coal",2013-12-01,167336.0329,9577517.84,165057.9134
"natural_gas",2013-12-01,0,2819428.95,0
"oil",2013-12-01,5669.8149,525170.204,6480.24753333333
"oil_and_natural_gas",2013-12-01,1200,310633,1050
"bio_oil_and_diesel",2014-01-01,898,125121.9,846.666666666667
"coal",2014-01-01,163475.6164,9427194.2,159188.965166667
"natural_gas",2014-01-01,0,2448289.703,0
"oil",2014-01-01,4448.2005,272261.203,6152.92866666667
"oil_and_natural_gas",2014-01-01,1000,238491,1033.33333333333
"bio_oil_and_diesel",2014-02-01,842,112852.7,822
"coal",2014-02-01,150352.7994,8121870.897,154280.536183333
"natural_gas",2014-02-01,0,2123504.217,0
"oil",2014-02-01,7723.0457,354652.026,6323.82741666667
"oil_and_natural_gas",2014-02-01,1000,265716,983.333333333333
"bio_oil_and_diesel",2014-03-01,907,114371.9,853.833333333333
"coal",2014-03-01,154153.6227,8661726.497,154095.0086
"natural_gas",2014-03-01,0,2243538.384,0
"oil",2014-03-01,6769.782,485527.294,6701.68348333333
"oil_and_natural_gas",2014-03-01,1200,338582,1100
"bio_oil_and_diesel",2014-04-01,967,118128.7,894.833333333333
"coal",2014-04-01,137360.5687,7692476.954,154168.612466667
"natural_gas",2014-04-01,0,1772640.748,0
"oil",2014-04-01,2064.4841,157427.066,5790.391
"oil_and_natural_gas",2014-04-01,900,182621,1083.33333333333
"bio_oil_and_diesel",2014-05-01,958,114091.8,909.833333333333
"coal",2014-05-01,172861.6728,8131978.621,157590.05215
"natural_gas",2014-05-01,0,1769257.352,0
"oil",2014-05-01,2428.9187,209408.48,4850.70765
"oil_and_natural_gas",2014-05-01,700,191078,1000
"bio_oil_and_diesel",2014-06-01,865,107880.7,906.166666666667
"coal",2014-06-01,178247.5634,8558571.303,159408.640566667
"natural_gas",2014-06-01,0,1683596.717,0
"oil",2014-06-01,2901.8217,291729.959,4389.37545
"oil_and_natural_gas",2014-06-01,500,123868,883.333333333333
"bio_oil_and_diesel",2014-07-01,854,117825.7,898.833333333333
"coal",2014-07-01,189545.8083,9462742.184,163753.67255
"natural_gas",2014-07-01,0,1858750.889,0
"oil",2014-07-01,5054.5549,390901.933,4490.43451666667
"oil_and_natural_gas",2014-07-01,1000,285010,883.333333333333
"bio_oil_and_diesel",2014-08-01,800,113319.1,891.833333333333
"coal",2014-08-01,173005.3308,8884091.426,167529.09445
"natural_gas",2014-08-01,0,1238697.115,0
"oil",2014-08-01,744.2473,55504.412,3327.30145
"bio_oil_and_diesel",2014-09-01,681,86230.5,854.166666666667
"coal",2014-09-01,159698.6738,7336313.259,168453.269633333
"natural_gas",2014-09-01,0,1842711.638,0
"oil",2014-09-01,3561.2693,221285.586,2792.54933333333
"oil_and_natural_gas",2014-09-01,200,25181,750
"bio_oil_and_diesel",2014-10-01,676,79283.2,805.666666666667
"coal",2014-10-01,135181.7024,7577020.939,168090.12525
"natural_gas",2014-10-01,0,1845042.927,0
"oil",2014-10-01,766.3927,31231.544,2576.20076666667
"bio_oil_and_diesel",2014-11-01,1024,114770.5,816.666666666667
"coal",2014-11-01,143861.1049,7888275.417,163256.697266667
"natural_gas",2014-11-01,0,1529237.925,0
"oil",2014-11-01,1218.1219,49039.568,2374.4013
"oil_and_natural_gas",2014-11-01,200,25564,583.333333333333
"bio_oil_and_diesel",2014-12-01,879,116646.8,819
"coal",2014-12-01,171344.3254,9503088.299,162106.1576
