"energy_type_clean","date","energy_generated_mwh","energy_generated_mwh_ma6"
"natural_gas",2012-12-01,4975764.31,3522091.5745
"oil",2012-12-01,658334.868,540298.042
"oil_and_natural_gas",2012-12-01,363421,263768.666666667
"bio_oil_and_diesel",2013-01-01,114621.7,106218.583333333
"coal",2013-01-01,9674152.326,9108748.0675
"natural_gas",2013-01-01,4643486.093,3718397.04183333
"oil",2013-01-01,619352.016,529970.718166667
"oil_and_natural_gas",2013-01-01,263015,248211.5
"bio_oil_and_diesel",2013-02-01,97498.1,102818.816666667
"coal",2013-02-01,8570823.133,8936734.97833333
"natural_gas",2013-02-01,3897331.394,3841594.29283333
"oil",2013-02-01,489384.528,501659.372833333
"oil_and_natural_gas",2013-02-01,249324,251153.5
"bio_oil_and_diesel",2013-03-01,111255.1,105349.566666667
"coal",2013-03-01,9568213.719,9098699.57533333
"natural_gas",2013-03-01,3797195.286,4050014.04266667
"oil",2013-03-01,497828.467,549459.593
"oil_and_natural_gas",2013-03-01,193741,271867.5
"bio_oil_and_diesel",2013-04-01,112048.1,111565.016666667
"coal",2013-04-01,7889353.61,9030398.22533333
"natural_gas",2013-04-01,3631239.856,4185102.611
"oil",2013-04-01,663971.441,593812.122333333
"oil_and_natural_gas",2013-04-01,422179,301126.5
"bio_oil_and_diesel",2013-05-01,113985.6,110635.133333333
"coal",2013-05-01,8246282.949,8937812.6565
"natural_gas",2013-05-01,3690869.264,4105981.03383333
"oil",2013-05-01,396781.072,554275.398666667
"oil_and_natural_gas",2013-05-01,317668,301558
"bio_oil_and_diesel",2013-06-01,106508.8,109319.566666667
"coal",2013-06-01,9128146.414,8846162.02516667
"natural_gas",2013-06-01,3788476.801,3908099.78233333
"oil",2013-06-01,622673.312,548331.806
"oil_and_natural_gas",2013-06-01,312081,293001.333333333
"bio_oil_and_diesel",2013-07-01,119836.5,110188.7
"coal",2013-07-01,9662293.187,8844185.502
"natural_gas",2013-07-01,4100097.369,3817534.995
"oil",2013-07-01,714672.419,564218.539833333
"oil_and_natural_gas",2013-07-01,408852,317307.5
"bio_oil_and_diesel",2013-08-01,123130.6,114460.783333333
"coal",2013-08-01,9424518.099,8986467.99633333
"natural_gas",2013-08-01,3929543.331,3822903.65116667
"oil",2013-08-01,710850.623,601129.555666667
"oil_and_natural_gas",2013-08-01,412802,344553.833333333
"bio_oil_and_diesel",2013-09-01,88536.8,110674.4
"coal",2013-09-01,8505864.678,8809409.82283333
"natural_gas",2013-09-01,3031687.466,3695319.0145
"oil",2013-09-01,312589.299,570256.361
"oil_and_natural_gas",2013-09-01,165934,339919.333333333
"bio_oil_and_diesel",2013-10-01,91178,107196.05
"coal",2013-10-01,8219376.047,8864413.56233333
"natural_gas",2013-10-01,3793702.526,3722396.12616667
